--- Episode Start: 120 steps ---
Step 071 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 072 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 073 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 074 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 075 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 076 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 077 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 078 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 079 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 080 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 081 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 082 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 083 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 084 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 085 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 086 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 087 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 088 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 089 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 090 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 091 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 092 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 093 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 094 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 095 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 096 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 097 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 098 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 099 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 100 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 101 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 102 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 103 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 104 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 105 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
Step 106 | Proposals: [AgentB:power_state, AgentC:admission] | Referee: AgentB:power_state | Rewards: [AgentA:+1.0, AgentB:+6.0, AgentC:+1.0]
